Freq.	V(vo)
1.13524210214609e+01	(-2.77829624473744e+00dB,-3.26012973317651e+01°)
1.13602926478671e+01	(-2.78097722162787e+00dB,-3.26128183991270e+01°)
1.13681697323604e+01	(-2.78365982927365e+00dB,-3.26243343606693e+01°)
1.13760522787253e+01	(-2.78634406709814e+00dB,-3.26358452048605e+01°)
1.13839402907490e+01	(-2.78902993452208e+00dB,-3.26473509201708e+01°)
1.13918337722214e+01	(-2.79171743096367e+00dB,-3.26588514950720e+01°)
1.13997327269348e+01	(-2.79440655583847e+00dB,-3.26703469180375e+01°)
1.14076371586845e+01	(-2.79709730855944e+00dB,-3.26818371775426e+01°)
1.14155470712680e+01	(-2.79978968853713e+00dB,-3.26933222620635e+01°)
1.14234624684857e+01	(-2.80248369517933e+00dB,-3.27048021600789e+01°)
1.14313833541406e+01	(-2.80517932789134e+00dB,-3.27162768600686e+01°)
1.14393097320383e+01	(-2.80787658607578e+00dB,-3.27277463505148e+01°)
1.14472416059871e+01	(-2.81057546913287e+00dB,-3.27392106199007e+01°)
1.14551789797978e+01	(-2.81327597646007e+00dB,-3.27506696567119e+01°)
1.14631218572840e+01	(-2.81597810745237e+00dB,-3.27621234494353e+01°)
1.14710702422619e+01	(-2.81868186150208e+00dB,-3.27735719865604e+01°)
1.14790241385503e+01	(-2.82138723799905e+00dB,-3.27850152565779e+01°)
1.14869835499706e+01	(-2.82409423633047e+00dB,-3.27964532479805e+01°)
1.14949484803470e+01	(-2.82680285588093e+00dB,-3.28078859492633e+01°)
1.15029189335063e+01	(-2.82951309603248e+00dB,-3.28193133489230e+01°)
1.15108949132779e+01	(-2.83222495616464e+00dB,-3.28307354354581e+01°)
1.15188764234938e+01	(-2.83493843565421e+00dB,-3.28421521973697e+01°)
1.15268634679889e+01	(-2.83765353387551e+00dB,-3.28535636231604e+01°)
1.15348560506005e+01	(-2.84037025020027e+00dB,-3.28649697013352e+01°)
1.15428541751686e+01	(-2.84308858399763e+00dB,-3.28763704204009e+01°)
1.15508578455361e+01	(-2.84580853463409e+00dB,-3.28877657688671e+01°)
1.15588670655483e+01	(-2.84853010147366e+00dB,-3.28991557352447e+01°)
1.15668818390531e+01	(-2.85125328387774e+00dB,-3.29105403080471e+01°)
1.15749021699015e+01	(-2.85397808120505e+00dB,-3.29219194757905e+01°)
1.15829280619467e+01	(-2.85670449281191e+00dB,-3.29332932269924e+01°)
1.15909595190448e+01	(-2.85943251805190e+00dB,-3.29446615501733e+01°)
1.15989965450546e+01	(-2.86216215627606e+00dB,-3.29560244338558e+01°)
1.16070391438375e+01	(-2.86489340683285e+00dB,-3.29673818665647e+01°)
1.16150873192575e+01	(-2.86762626906826e+00dB,-3.29787338368269e+01°)
1.16231410751814e+01	(-2.87036074232545e+00dB,-3.29900803331727e+01°)
1.16312004154788e+01	(-2.87309682594525e+00dB,-3.30014213441336e+01°)
1.16392653440216e+01	(-2.87583451926578e+00dB,-3.30127568582442e+01°)
1.16473358646848e+01	(-2.87857382162257e+00dB,-3.30240868640415e+01°)
1.16554119813459e+01	(-2.88131473234858e+00dB,-3.30354113500652e+01°)
1.16634936978850e+01	(-2.88405725077428e+00dB,-3.30467303048569e+01°)
1.16715810181850e+01	(-2.88680137622741e+00dB,-3.30580437169614e+01°)
1.16796739461315e+01	(-2.88954710803318e+00dB,-3.30693515749260e+01°)
1.16877724856127e+01	(-2.89229444551432e+00dB,-3.30806538672999e+01°)
1.16958766405198e+01	(-2.89504338799081e+00dB,-3.30919505826361e+01°)
1.17039864147462e+01	(-2.89779393478017e+00dB,-3.31032417094893e+01°)
1.17121018121884e+01	(-2.90054608519730e+00dB,-3.31145272364174e+01°)
1.17202228367454e+01	(-2.90329983855453e+00dB,-3.31258071519808e+01°)
1.17283494923191e+01	(-2.90605519416156e+00dB,-3.31370814447428e+01°)
1.17364817828138e+01	(-2.90881215132555e+00dB,-3.31483501032696e+01°)
1.17446197121368e+01	(-2.91157070935106e+00dB,-3.31596131161299e+01°)
1.17527632841980e+01	(-2.91433086754010e+00dB,-3.31708704718953e+01°)
1.17609125029099e+01	(-2.91709262519212e+00dB,-3.31821221591404e+01°)
1.17690673721880e+01	(-2.91985598160388e+00dB,-3.31933681664428e+01°)
1.17772278959501e+01	(-2.92262093606965e+00dB,-3.32046084823827e+01°)
1.17853940781171e+01	(-2.92538748788106e+00dB,-3.32158430955437e+01°)
1.17935659226125e+01	(-2.92815563632723e+00dB,-3.32270719945119e+01°)
1.18017434333623e+01	(-2.93092538069470e+00dB,-3.32382951678765e+01°)
1.18099266142956e+01	(-2.93369672026733e+00dB,-3.32495126042301e+01°)
1.18181154693440e+01	(-2.93646965432651e+00dB,-3.32607242921681e+01°)
1.18263100024417e+01	(-2.93924418215097e+00dB,-3.32719302202889e+01°)
1.18345102175260e+01	(-2.94202030301690e+00dB,-3.32831303771943e+01°)
1.18427161185366e+01	(-2.94479801619792e+00dB,-3.32943247514890e+01°)
1.18509277094161e+01	(-2.94757732096502e+00dB,-3.33055133317811e+01°)
1.18591449941098e+01	(-2.95035821658669e+00dB,-3.33166961066816e+01°)
1.18673679765656e+01	(-2.95314070232881e+00dB,-3.33278730648048e+01°)
1.18755966607344e+01	(-2.95592477745458e+00dB,-3.33390441947690e+01°)
1.18838310505696e+01	(-2.95871044122478e+00dB,-3.33502094851946e+01°)
1.18920711500275e+01	(-2.96149769289757e+00dB,-3.33613689247060e+01°)
1.19003169630671e+01	(-2.96428653172844e+00dB,-3.33725225019310e+01°)
1.19085684936500e+01	(-2.96707695697040e+00dB,-3.33836702055006e+01°)
1.19168257457408e+01	(-2.96986896787384e+00dB,-3.33948120240492e+01°)
1.19250887233066e+01	(-2.97266256368658e+00dB,-3.34059479462146e+01°)
1.19333574303175e+01	(-2.97545774365389e+00dB,-3.34170779606383e+01°)
1.19416318707462e+01	(-2.97825450701844e+00dB,-3.34282020559648e+01°)
1.19499120485682e+01	(-2.98105285302032e+00dB,-3.34393202208427e+01°)
1.19581979677616e+01	(-2.98385278089702e+00dB,-3.34504324439239e+01°)
1.19664896323075e+01	(-2.98665428988350e+00dB,-3.34615387138638e+01°)
1.19747870461896e+01	(-2.98945737921219e+00dB,-3.34726390193213e+01°)
1.19830902133945e+01	(-2.99226204811281e+00dB,-3.34837333489593e+01°)
1.19913991379115e+01	(-2.99506829581262e+00dB,-3.34948216914441e+01°)
1.19997138237325e+01	(-2.99787612153625e+00dB,-3.35059040354457e+01°)
1.20080342748524e+01	(-3.00068552450578e+00dB,-3.35169803696379e+01°)
1.20163604952689e+01	(-3.00349650394071e+00dB,-3.35280506826983e+01°)
1.20246924889821e+01	(-3.00630905905796e+00dB,-3.35391149633080e+01°)
1.20330302599954e+01	(-3.00912318907196e+00dB,-3.35501732001520e+01°)
1.20413738123145e+01	(-3.01193889319440e+00dB,-3.35612253819195e+01°)
1.20497231499482e+01	(-3.01475617063454e+00dB,-3.35722714973030e+01°)
1.20580782769080e+01	(-3.01757502059906e+00dB,-3.35833115349992e+01°)
1.20664391972080e+01	(-3.02039544229195e+00dB,-3.35943454837089e+01°)
1.20748059148653e+01	(-3.02321743491475e+00dB,-3.36053733321364e+01°)
1.20831784338998e+01	(-3.02604099766647e+00dB,-3.36163950689899e+01°)
1.20915567583340e+01	(-3.02886612974341e+00dB,-3.36274106829822e+01°)
1.20999408921933e+01	(-3.03169283033932e+00dB,-3.36384201628300e+01°)
1.21083308395059e+01	(-3.03452109864552e+00dB,-3.36494234972535e+01°)
